Week,team_id,Points,Opp_Team,Points_Against,Type
1,2,114.26,7,88.0,Regular
1,4,111.12,9,86.42,Regular
1,10,77.06,6,125.72,Regular
1,5,89.38,1,152.22,Regular
1,8,114.1,3,121.18,Regular
2,7,65.16,9,94.56,Regular
2,6,136.18,2,81.76,Regular
2,1,116.02,4,116.02,Regular
2,3,169.28,10,117.5,Regular
2,8,132.1,5,63.68,Regular
3,6,85.46,7,68.96,Regular
3,9,106.5,1,111.8,Regular
3,2,70.24,3,101.9,Regular
3,4,98.02,8,82.28,Regular
3,10,107.8,5,123.86,Regular
4,7,93.78,1,167.96,Regular
4,3,147.02,6,101.68,Regular
4,8,174.86,9,112.38,Regular
4,5,81.36,2,79.8,Regular
4,10,71.78,4,94.86,Regular
5,3,136.06,7,83.36,Regular
5,1,135.68,8,116.38,Regular
5,6,120.3,5,137.44,Regular
5,9,111.98,10,76.4,Regular
5,2,119.22,4,70.86,Regular
6,7,86.72,8,99.22,Regular
6,5,110.52,3,106.76,Regular
6,10,67.38,1,100.0,Regular
6,4,77.6,6,102.08,Regular
6,2,99.16,9,115.6,Regular
7,5,96.7,7,151.68,Regular
7,8,132.22,10,73.4,Regular
7,3,106.92,4,78.6,Regular
7,1,116.64,2,119.34,Regular
7,6,70.46,9,116.94,Regular
8,7,65.8,10,91.28,Regular
8,4,101.32,5,174.0,Regular
8,2,139.86,8,138.58,Regular
8,9,119.54,3,123.62,Regular
8,6,145.14,1,139.3,Regular
9,4,139.12,7,109.8,Regular
9,10,114.92,2,67.02,Regular
9,5,116.9,9,99.04,Regular
9,8,148.64,6,100.5,Regular
9,3,125.0,1,98.42,Regular
10,7,84.3,2,100.1,Regular
10,9,118.2,4,73.04,Regular
10,6,73.5,10,115.68,Regular
10,1,122.9,5,88.76,Regular
10,3,95.3,8,120.64,Regular
11,9,0.0,7,0.0,Regular
11,2,0.0,6,0.0,Regular
11,4,0.0,1,0.0,Regular
11,10,0.0,3,0.0,Regular
11,5,0.0,8,0.0,Regular
12,1,0.0,5,0.0,Regular
12,7,0.0,4,0.0,Regular
12,10,0.0,8,0.0,Regular
12,3,0.0,2,0.0,Regular
12,9,0.0,6,0.0,Regular
13,7,0.0,1,0.0,Regular
13,5,0.0,10,0.0,Regular
13,4,0.0,3,0.0,Regular
13,8,0.0,9,0.0,Regular
13,2,0.0,6,0.0,Regular
14,1,0.0,10,0.0,Regular
14,3,0.0,7,0.0,Regular
14,9,0.0,5,0.0,Regular
14,6,0.0,4,0.0,Regular
14,2,0.0,8,0.0,Regular
1,7,88.0,2,114.26,Regular
1,9,86.42,4,111.12,Regular
1,6,125.72,10,77.06,Regular
1,1,152.22,5,89.38,Regular
1,3,121.18,8,114.1,Regular
2,9,94.56,7,65.16,Regular
2,2,81.76,6,136.18,Regular
2,4,116.02,1,116.02,Regular
2,10,117.5,3,169.28,Regular
2,5,63.68,8,132.1,Regular
3,7,68.96,6,85.46,Regular
3,1,111.8,9,106.5,Regular
3,3,101.9,2,70.24,Regular
3,8,82.28,4,98.02,Regular
3,5,123.86,10,107.8,Regular
4,1,167.96,7,93.78,Regular
4,6,101.68,3,147.02,Regular
4,9,112.38,8,174.86,Regular
4,2,79.8,5,81.36,Regular
4,4,94.86,10,71.78,Regular
5,7,83.36,3,136.06,Regular
5,8,116.38,1,135.68,Regular
5,5,137.44,6,120.3,Regular
5,10,76.4,9,111.98,Regular
5,4,70.86,2,119.22,Regular
6,8,99.22,7,86.72,Regular
6,3,106.76,5,110.52,Regular
6,1,100.0,10,67.38,Regular
6,6,102.08,4,77.6,Regular
6,9,115.6,2,99.16,Regular
7,7,151.68,5,96.7,Regular
7,10,73.4,8,132.22,Regular
7,4,78.6,3,106.92,Regular
7,2,119.34,1,116.64,Regular
7,9,116.94,6,70.46,Regular
8,10,91.28,7,65.8,Regular
8,5,174.0,4,101.32,Regular
8,8,138.58,2,139.86,Regular
8,3,123.62,9,119.54,Regular
8,1,139.3,6,145.14,Regular
9,7,109.8,4,139.12,Regular
9,2,67.02,10,114.92,Regular
9,9,99.04,5,116.9,Regular
9,6,100.5,8,148.64,Regular
9,1,98.42,3,125.0,Regular
10,2,100.1,7,84.3,Regular
10,4,73.04,9,118.2,Regular
10,10,115.68,6,73.5,Regular
10,5,88.76,1,122.9,Regular
10,8,120.64,3,95.3,Regular
11,7,0.0,9,0.0,Regular
11,6,0.0,2,0.0,Regular
11,1,0.0,4,0.0,Regular
11,3,0.0,10,0.0,Regular
11,8,0.0,5,0.0,Regular
12,5,0.0,1,0.0,Regular
12,4,0.0,7,0.0,Regular
12,8,0.0,10,0.0,Regular
12,2,0.0,3,0.0,Regular
12,6,0.0,9,0.0,Regular
13,1,0.0,7,0.0,Regular
13,10,0.0,5,0.0,Regular
13,3,0.0,4,0.0,Regular
13,9,0.0,8,0.0,Regular
13,6,0.0,2,0.0,Regular
14,10,0.0,1,0.0,Regular
14,7,0.0,3,0.0,Regular
14,5,0.0,9,0.0,Regular
14,4,0.0,6,0.0,Regular
14,8,0.0,2,0.0,Regular
